"alpha","alti","super","frag","foret","vieille","site"
81,960.7255351,80,"large",0.45802775,0.188443129,"1"
65,1105.711426,40,"large",0.3278487,0.067207509,"2"
82,983.1401265,48,"large",0.375502371,0.149085698,"3"
45,1217.286458,3.8,"small",0.128599279,0.115097606,"5"
34,1142.294556,1.136,"small",0.269176702,0.22643138,"6"
33,1166.515666,3.3,"small",0.311267798,0.278697174,"7"
31,1140.373779,1.26,"small",0.258063491,0.200196911,"8"
32,1137.881307,4.5,"small",0.222169546,0.196303987,"9"
30,1246.455444,3.75,"small",0.077941137,0.123319027,"10"
51,1003.005442,35.65,"large",0.373052768,0.326361507,"12"
50,1062.48702,88,"large",0.277789809,0.22862371,"13"
21,1358.897217,5,"small",0.554069635,0.473225445,"15"
56,1146.713379,1.448,"small",0.562712799,0.512246668,"17"
52,1196.03182,95,"large",0.580715227,0.48108126,"19"
52,1069.053874,40.9,"large",0.429443607,0.326985228,"20"
40,1057.569743,2.6,"small",0.500757549,0.419696056,"21"
22,996.9243164,1.7,"small",0.375802873,0.303011318,"22"
33,1229.709635,20.3,"large",0.463492915,0.415139943,"24"
27,1293.677205,358,"large",0.440108888,0.46229687,"25"
28,1365.943481,3.47,"small",0.465021796,0.508183142,"26"
32,1250.495972,0.98,"small",0.503161593,0.503742189,"30"
43,1156.118062,364.6,"large",0.698422488,0.708411329,"33"
43,1159.511271,84,"large",0.293196746,0.308656418,"34"
41,1401.241475,320,"large",0.491669244,0.491146165,"35"
41,1146.742879,67,"large",0.269432187,0.324096431,"36"
61,970.0907288,46.1,"large",0.332413445,0.108198185,"37"
49,936.9622294,61,"large",0.243190737,0.163547038,"39"
51,970.1573792,89,"large",0.384351721,0.114160972,"40"
54,875.7886251,126,"large",0.303109444,0.078533124,"43"
29,1132.156657,2.43,"small",0.109436444,0.116055024,"47"
45,987.3033244,4.6,"small",0.196968961,0.050826012,"49"
50,1138.051636,3.1,"small",0.206508149,0.20635443,"50"
33,1385.578125,1.92,"small",0.500751512,0.501055573,"52"
42,1256.016235,1089,"large",0.822299927,0.859436598,"53"
44,1413.504639,320,"large",0.50434039,0.44757421,"54"
35,1421.443176,38.65,"large",0.461528124,0.419486565,"55"
75,1021.053101,132,"large",0.277276148,0.340628481,"57"
33,1114.059245,1.6,"small",0.237079983,0.159154926,"60"
22,920.1064657,0.9,"small",0.70129017,0.477464777,"62"
38,1089.271393,1035,"large",0.645914622,0.572957732,"63"
33,1383.322998,1.23,"small",0.273179003,0.259694051,"B"
35,1270.350749,1.67,"small",0.182759189,0.179086774,"C"
73,1260.116496,111.22,"large",0.4111205,0.425195574,"D"
36,997.2224325,1.41,"small",0.523748457,0.324102804,"E"
59,1089.221273,24,"large",0.189054994,0.140761582,"G"
46,918.0824585,2.1,"small",0.284116534,0.122093644,"H"
35,937.0842692,2.21,"small",0.263840183,0.124788639,"I"
68,1031.250193,189,"large",0.421582576,0.318309851,"J"
80,1359.659587,27.5,"large",0.23249634,0.200556825,"K"
