"site","habitat","batiment","urbain","year","julien","nbsp"
1,"mixtes",2.12,10.88,1999,196,4
1,"mixtes",2.12,10.88,1999,230,3
1,"mixtes",2.12,10.88,2000,171,6
1,"mixtes",2.12,10.88,2000,199,4
1,"mixtes",2.12,10.88,2000,232,7
2,"mixtes",2.12,11.83,1999,196,3
2,"mixtes",2.12,11.83,1999,230,2
2,"mixtes",2.12,11.83,2000,171,10
2,"mixtes",2.12,11.83,2000,199,10
2,"mixtes",2.12,11.83,2000,232,10
3,"mixtes",19.8,1.68,1999,196,3
3,"mixtes",19.8,1.68,1999,230,4
3,"mixtes",19.8,1.68,2000,171,9
3,"mixtes",19.8,1.68,2000,200,8
3,"mixtes",19.8,1.68,2000,232,7
4,"mixtes",5.33,0,1999,196,4
4,"mixtes",5.33,0,1999,229,3
4,"mixtes",5.33,0,2000,172,11
4,"mixtes",5.33,0,2000,200,5
4,"mixtes",5.33,0,2000,232,5
5,"mixtes",3.94,0,NA,NA,0
5,"mixtes",3.94,0,1999,229,6
5,"mixtes",3.94,0,2000,172,9
5,"mixtes",3.94,0,2000,200,5
5,"mixtes",3.94,0,2000,232,6
6,"courtes",0,0,NA,NA,0
6,"courtes",0,0,1999,229,4
6,"courtes",0,0,2000,172,5
6,"courtes",0,0,2000,200,5
6,"courtes",0,0,2000,233,2
7,"courtes",0,0,1999,197,1
7,"courtes",0,0,1999,231,3
7,"courtes",0,0,2000,172,2
7,"courtes",0,0,2000,200,4
7,"courtes",0,0,2000,233,2
8,"courtes",0,0,1999,197,4
8,"courtes",0,0,1999,231,1
8,"courtes",0,0,2000,172,4
8,"courtes",0,0,2000,200,1
8,"courtes",0,0,2000,233,0
9,"courtes",0,0,1999,209,3
9,"courtes",0,0,1999,243,4
9,"courtes",0,0,2000,172,1
9,"courtes",0,0,2000,200,1
9,"courtes",0,0,2000,233,2
10,"courtes",0,0,1999,197,1
10,"courtes",0,0,1999,230,1
10,"courtes",0,0,2000,173,8
10,"courtes",0,0,2000,201,5
10,"courtes",0,0,2000,233,3
11,"courtes",0,0,1999,197,2
11,"courtes",0,0,1999,230,6
11,"courtes",0,0,2000,173,11
11,"courtes",0,0,2000,201,4
11,"courtes",0,0,2000,233,1
12,"mixtes",0,0,1999,197,3
12,"mixtes",0,0,1999,230,6
12,"mixtes",0,0,2000,173,7
12,"mixtes",0,0,2000,201,9
12,"mixtes",0,0,2000,234,6
13,"mixtes",0,0,1999,197,0
13,"mixtes",0,0,1999,230,7
13,"mixtes",0,0,2000,173,8
13,"mixtes",0,0,2000,201,12
13,"mixtes",0,0,2000,234,6
14,"mixtes",9.93,14.76,1999,197,0
14,"mixtes",9.93,14.76,1999,231,7
14,"mixtes",9.93,14.76,2000,173,11
14,"mixtes",9.93,14.76,2000,201,9
14,"mixtes",9.93,14.76,2000,234,7
15,"mixtes",11.83,19.5,1999,197,0
15,"mixtes",11.83,19.5,1999,240,4
15,"mixtes",11.83,19.5,2000,173,5
15,"mixtes",11.83,19.5,2000,201,10
15,"mixtes",11.83,19.5,2000,234,4
16,"courtes",0,1.1,NA,NA,0
16,"courtes",0,1.1,1999,250,3
16,"courtes",0,1.1,2000,183,7
16,"courtes",0,1.1,2000,201,5
16,"courtes",0,1.1,2000,234,0
17,"mixtes",1.53,5.62,NA,NA,3
17,"mixtes",1.53,5.62,1999,250,3
17,"mixtes",1.53,5.62,2000,183,1
17,"mixtes",1.53,5.62,2000,201,3
17,"mixtes",1.53,5.62,2000,234,2
18,"mixtes",9.42,14.1,1999,209,5
18,"mixtes",9.42,14.1,NA,NA,0
18,"mixtes",9.42,14.1,2000,174,5
18,"mixtes",9.42,14.1,2000,201,5
18,"mixtes",9.42,14.1,2000,234,3
19,"foin",0,0,1999,183,2
19,"foin",0,0,1999,246,4
19,"foin",0,0,2000,174,5
19,"foin",0,0,2000,202,4
19,"foin",0,0,2000,235,7
20,"foin",0,0,1999,183,4
20,"foin",0,0,1999,246,3
20,"foin",0,0,2000,174,4
20,"foin",0,0,2000,202,4
20,"foin",0,0,2000,235,8
21,"foin",0,0,1999,209,4
21,"foin",0,0,1999,241,4
21,"foin",0,0,2000,174,5
21,"foin",0,0,2000,202,6
21,"foin",0,0,2000,235,9
22,"foin",0,0,1999,212,4
22,"foin",0,0,1999,252,3
22,"foin",0,0,2000,174,5
22,"foin",0,0,2000,202,6
22,"foin",0,0,2000,235,8
23,"mixtes",0.07,0,1999,210,2
23,"mixtes",0.07,0,1999,252,3
23,"mixtes",0.07,0,2000,183,5
23,"mixtes",0.07,0,2000,203,0
23,"mixtes",0.07,0,2000,236,4
24,"mixtes",0.07,0,1999,210,0
24,"mixtes",0.07,0,1999,252,3
24,"mixtes",0.07,0,2000,183,2
24,"mixtes",0.07,0,2000,203,3
24,"mixtes",0.07,0,2000,236,2
25,"foin",0.37,1.24,1999,208,5
25,"foin",0.37,1.24,1999,238,4
25,"foin",0.37,1.24,2000,174,6
25,"foin",0.37,1.24,2000,208,3
25,"foin",0.37,1.24,2000,235,6
26,"foin",0.37,1.39,1999,208,4
26,"foin",0.37,1.39,1999,238,4
26,"foin",0.37,1.39,2000,174,4
26,"foin",0.37,1.39,2000,208,4
26,"foin",0.37,1.39,2000,235,5
27,"mixtes",15.49,8.33,1999,208,4
27,"mixtes",15.49,8.33,1999,238,4
27,"mixtes",15.49,8.33,2000,175,4
27,"mixtes",15.49,8.33,2000,203,4
27,"mixtes",15.49,8.33,2000,235,3
28,"mixtes",4.82,19.07,1999,198,3
28,"mixtes",4.82,19.07,1999,230,7
28,"mixtes",4.82,19.07,2000,184,8
28,"mixtes",4.82,19.07,2000,211,6
28,"mixtes",4.82,19.07,2000,241,6
29,"mixtes",5.26,22.43,1999,198,4
29,"mixtes",5.26,22.43,1999,230,4
29,"mixtes",5.26,22.43,2000,184,7
29,"mixtes",5.26,22.43,2000,211,5
29,"mixtes",5.26,22.43,2000,241,10
30,"courtes",0.44,0.07,1999,209,4
30,"courtes",0.44,0.07,1999,239,2
30,"courtes",0.44,0.07,2000,175,7
30,"courtes",0.44,0.07,2000,203,3
30,"courtes",0.44,0.07,2000,235,4
31,"courtes",0.44,0.07,1999,209,0
31,"courtes",0.44,0.07,1999,239,3
31,"courtes",0.44,0.07,2000,175,5
31,"courtes",0.44,0.07,2000,203,1
31,"courtes",0.44,0.07,2000,235,2
32,"foin",0.44,26.59,1999,204,3
32,"foin",0.44,26.59,1999,236,2
32,"foin",0.44,26.59,2000,176,3
32,"foin",0.44,26.59,2000,204,7
32,"foin",0.44,26.59,2000,236,7
33,"foin",0.44,26.3,1999,204,4
33,"foin",0.44,26.3,1999,236,2
33,"foin",0.44,26.3,2000,176,5
33,"foin",0.44,26.3,2000,204,5
33,"foin",0.44,26.3,2000,236,5
34,"grandes",6.36,20.82,1999,202,3
34,"grandes",6.36,20.82,1999,239,4
34,"grandes",6.36,20.82,2000,176,4
34,"grandes",6.36,20.82,2000,204,7
34,"grandes",6.36,20.82,2000,237,9
35,"grandes",0.29,1.1,1999,202,3
35,"grandes",0.29,1.1,1999,239,3
35,"grandes",0.29,1.1,2000,176,7
35,"grandes",0.29,1.1,2000,204,12
35,"grandes",0.29,1.1,2000,237,9
36,"grandes",1.83,3.29,1999,204,11
36,"grandes",1.83,3.29,1999,236,4
36,"grandes",1.83,3.29,2000,176,9
36,"grandes",1.83,3.29,2000,204,8
36,"grandes",1.83,3.29,2000,237,5
37,"grandes",4.89,14.32,1999,204,3
37,"grandes",4.89,14.32,1999,236,4
37,"grandes",4.89,14.32,2000,176,6
37,"grandes",4.89,14.32,2000,205,6
37,"grandes",4.89,14.32,2000,237,6
38,"grandes",6.43,7.16,1999,211,3
38,"grandes",6.43,7.16,1999,246,2
38,"grandes",6.43,7.16,2000,181,6
38,"grandes",6.43,7.16,2000,205,9
38,"grandes",6.43,7.16,2000,237,5
39,"foin",2.34,26.95,1999,208,3
39,"foin",2.34,26.95,1999,238,3
39,"foin",2.34,26.95,2000,175,8
39,"foin",2.34,26.95,2000,204,8
39,"foin",2.34,26.95,2000,236,6
40,"foin",2.48,27.17,1999,208,5
40,"foin",2.48,27.17,1999,238,3
40,"foin",2.48,27.17,2000,175,9
40,"foin",2.48,27.17,2000,204,6
40,"foin",2.48,27.17,2000,236,7
41,"grandes",3.14,0.73,1999,207,3
41,"grandes",3.14,0.73,1999,236,4
41,"grandes",3.14,0.73,2000,181,5
41,"grandes",3.14,0.73,2000,205,5
41,"grandes",3.14,0.73,2000,238,4
42,"grandes",3.29,1.1,1999,207,5
42,"grandes",3.29,1.1,1999,237,4
42,"grandes",3.29,1.1,2000,181,5
42,"grandes",3.29,1.1,2000,205,5
42,"grandes",3.29,1.1,2000,238,7
43,"grandes",1.02,2.41,1999,207,6
43,"grandes",1.02,2.41,1999,237,5
43,"grandes",1.02,2.41,2000,182,8
43,"grandes",1.02,2.41,2000,207,9
43,"grandes",1.02,2.41,2000,240,6
44,"grandes",1.1,3.73,1999,207,3
44,"grandes",1.1,3.73,1999,237,4
44,"grandes",1.1,3.73,2000,182,9
44,"grandes",1.1,3.73,2000,207,10
44,"grandes",1.1,3.73,2000,240,5
45,"grandes",0.95,3.43,1999,207,2
45,"grandes",0.95,3.43,1999,237,4
45,"grandes",0.95,3.43,2000,182,9
45,"grandes",0.95,3.43,2000,207,8
45,"grandes",0.95,3.43,2000,240,8
46,"grandes",1.31,2.12,1999,211,3
46,"grandes",1.31,2.12,1999,245,4
46,"grandes",1.31,2.12,2000,181,10
46,"grandes",1.31,2.12,2000,207,7
46,"grandes",1.31,2.12,2000,237,7
47,"grandes",1.24,2.41,1999,211,5
47,"grandes",1.24,2.41,1999,245,4
47,"grandes",1.24,2.41,2000,181,8
47,"grandes",1.24,2.41,2000,207,6
47,"grandes",1.24,2.41,2000,237,7
48,"grandes",0.8,4.02,1999,211,4
48,"grandes",0.8,4.02,1999,245,3
48,"grandes",0.8,4.02,2000,181,10
48,"grandes",0.8,4.02,2000,207,8
48,"grandes",0.8,4.02,2000,237,6
49,"foin",1.17,3.87,1999,207,6
49,"foin",1.17,3.87,1999,237,4
49,"foin",1.17,3.87,2000,181,4
49,"foin",1.17,3.87,2000,207,7
49,"foin",1.17,3.87,2000,238,6
50,"grandes",1.24,2.34,1999,210,3
50,"grandes",1.24,2.34,1999,244,2
50,"grandes",1.24,2.34,2000,182,11
50,"grandes",1.24,2.34,2000,208,9
50,"grandes",1.24,2.34,2000,240,10
51,"grandes",0.51,3.36,1999,210,4
51,"grandes",0.51,3.36,1999,244,2
51,"grandes",0.51,3.36,2000,182,11
51,"grandes",0.51,3.36,2000,208,9
51,"grandes",0.51,3.36,2000,240,8
52,"mixtes",0.29,0,1999,211,4
52,"mixtes",0.29,0,1999,242,5
52,"mixtes",0.29,0,2000,182,9
52,"mixtes",0.29,0,2000,209,4
52,"mixtes",0.29,0,2000,240,5
53,"mixtes",0.8,0,1999,211,3
53,"mixtes",0.8,0,1999,242,3
53,"mixtes",0.8,0,2000,182,8
53,"mixtes",0.8,0,2000,209,1
53,"mixtes",0.8,0,2000,240,4
54,"grandes",1.83,0.07,1999,200,3
54,"grandes",1.83,0.07,1999,231,3
54,"grandes",1.83,0.07,2000,184,8
54,"grandes",1.83,0.07,2000,210,8
54,"grandes",1.83,0.07,2000,241,7
55,"grandes",0,0,1999,200,3
55,"grandes",0,0,1999,242,2
55,"grandes",0,0,2000,184,4
55,"grandes",0,0,2000,210,3
55,"grandes",0,0,2000,241,4
56,"grandes",0.29,0,1999,200,5
56,"grandes",0.29,0,1999,245,3
56,"grandes",0.29,0,2000,186,7
56,"grandes",0.29,0,2000,210,5
56,"grandes",0.29,0,2000,241,7
57,"grandes",0.22,0,1999,200,3
57,"grandes",0.22,0,1999,245,2
57,"grandes",0.22,0,2000,186,8
57,"grandes",0.22,0,2000,210,5
57,"grandes",0.22,0,2000,241,2
58,"grandes",7.6,2.41,1999,198,2
58,"grandes",7.6,2.41,1999,232,3
58,"grandes",7.6,2.41,2000,184,10
58,"grandes",7.6,2.41,2000,211,7
58,"grandes",7.6,2.41,2000,242,8
59,"grandes",6.28,2.41,1999,198,0
59,"grandes",6.28,2.41,NA,NA,0
59,"grandes",6.28,2.41,2000,184,10
59,"grandes",6.28,2.41,2000,211,5
59,"grandes",6.28,2.41,2000,242,5
60,"courtes",0,0,1999,201,0
60,"courtes",0,0,1999,232,2
60,"courtes",0,0,2000,185,3
60,"courtes",0,0,2000,209,2
60,"courtes",0,0,2000,243,5
61,"courtes",3.07,0,1999,201,3
61,"courtes",3.07,0,NA,NA,0
61,"courtes",3.07,0,2000,185,6
61,"courtes",3.07,0,2000,209,1
61,"courtes",3.07,0,2000,243,4
62,"courtes",2.12,0,1999,201,2
62,"courtes",2.12,0,1999,233,4
62,"courtes",2.12,0,2000,185,7
62,"courtes",2.12,0,2000,209,6
62,"courtes",2.12,0,2000,243,6
63,"courtes",1.83,0,1999,202,4
63,"courtes",1.83,0,1999,235,5
63,"courtes",1.83,0,2000,185,4
63,"courtes",1.83,0,2000,209,2
63,"courtes",1.83,0,2000,243,4
64,"courtes",1.31,0,1999,202,1
64,"courtes",1.31,0,1999,235,4
64,"courtes",1.31,0,2000,185,6
64,"courtes",1.31,0,2000,209,3
64,"courtes",1.31,0,2000,243,3
65,"courtes",1.02,0,1999,210,3
65,"courtes",1.02,0,1999,244,1
65,"courtes",1.02,0,2000,185,3
65,"courtes",1.02,0,2000,209,1
65,"courtes",1.02,0,2000,243,2
66,"mixtes",3.14,32.43,1999,208,3
66,"mixtes",3.14,32.43,1999,238,5
66,"mixtes",3.14,32.43,2000,175,6
66,"mixtes",3.14,32.43,2000,204,6
66,"mixtes",3.14,32.43,2000,236,10
